sample,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43
JS604,0,1,1,2,2,2,1,1,1,1,1,2,2,0,0,2,2,2,2,2,3,2,2,2,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
JS711,2,1,2,2,2,2,2,1,1,1,2,1,2,2,2,2,2,2,2,2,0,2,3,2,2,3,2,2,2,2,0,0,0,0,0,2,2,0,0,2,2,0,2
JS628,2,1,2,2,2,2,2,2,2,2,2,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,4,2,2,2
JS706,1,1,1,1,0,0,1,1,1,1,1,1,1,0,0,0,0,0,2,1,2,2,2,2,2,2,1,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,1
JS609,2,1,1,1,2,2,1,1,2,2,2,1,0,0,0,1,1,1,1,1,1,0,0,1,1,2,2,1,1,1,1,1,1,0,0,0,1,1,2,1,2,2,2
JS705,0,1,2,2,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,2,3,2,2,2,2,1,1,1,1,1,0,0,0,0,1,1,1,0,0,0,0,0
JS599,2,1,2,2,2,1,2,2,2,2,1,1,0,0,0,0,0,0,2,2,0,1,1,1,1,1,1,0,2,2,2,2,2,1,1,2,2,2,2,0,2,1,2
JS735,0,1,0,0,0,0,1,1,2,2,2,4,3,4,4,4,4,4,4,2,2,2,2,2,4,4,4,4,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0
JS731,2,1,1,1,1,1,1,2,2,1,2,1,1,4,4,4,5,2,5,5,3,4,4,4,2,2,2,1,2,2,2,0,0,0,0,4,4,3,2,2,2,2,2
JS707,2,1,1,1,1,1,1,3,2,3,5,3,3,4,5,7,7,7,6,6,3,2,3,2,2,2,0,4,5,6,6,0,0,0,0,4,5,4,3,2,2,2,2
